source,target,weight
RALA,RHOA,0.0
BAX,BCL2,0.0
EREG,EGFR,0.0
AR,EGFR,0.0
AREG,EGFR,0.0
EGFR,GRB2,0.0
CREBBP,HLF,1.0
CREBBP,EPAS1,1.0
ARNT,HLF,1.0
ARNT,EPAS1,1.0
HLF,SLC2A1,1.0
EPAS1,SLC2A1,1.0
HLF,VEGFA,1.0
EPAS1,VEGFA,1.0
HLF,PDGFB,1.0
EPAS1,PDGFB,1.0
HLF,TGFA,1.0
EPAS1,TGFA,1.0
EGLN2,HLF,1.0
EGLN2,EPAS1,1.0
MET,GAB1,1.0
ARAF,MAP2K1,1.0
MAP2K1,MAPK1,1.0
MAPK1,ETS1,1.0
MAPK1,JUN,1.0
GAB1,PIK3CA,1.0
PIK3CA,AKT3,1.0
GAB1,CRK,1.0
CRK,RAPGEF1,1.0
RAPGEF1,RAP1A,1.0
GAB1,PTPN11,1.0
PTPN11,MAPK1,1.0
GAB1,GRB2,1.0
MET,GRB2,1.0
RAC1,PAK4,1.0
CDC42,PAK4,1.0
AKT3,BAD,-1.0
HLF,CREBBP,1.0
EPAS1,CREBBP,1.0
HLF,ARNT,1.0
EPAS1,ARNT,1.0
CALML6,CAMK1D,0.0
PRKCA,KRAS,0.0
PRKACA,KRAS,0.0
CAMK1D,HRAS,0.0
CAMK1D,KRAS,0.0
PDGFRA,SHC2,0.0
TP53,CDKN1A,0.0
PDPK1,AKT3,0.0
PDK1,AKT3,0.0
ILK,AKT3,0.0
AKT3,FOXO3,0.0
MAPK1,ELK1,0.0
